rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
33867.80528969808,18340.129702684902,0.9891414997128617,36742,Abu Dhabi Grand Prix,E_har_final,mlp,2,0.9924079449056442
20597.41709708512,13295.341840181745,0.9959359338955733,26039,Australian Grand Prix,E_har_final,mlp,2,0.9924079449056442
23723.561569389087,14423.161499173655,0.9952081745102629,25190,Austrian Grand Prix,E_har_final,mlp,2,0.9924079449056442
20692.421987371985,12922.271521828192,0.9961950776935231,39435,Azerbaijan Grand Prix,E_har_final,mlp,2,0.9924079449056442
27787.142511403566,13893.030778023014,0.9914036894575566,26795,Bahrain Grand Prix,E_har_final,mlp,2,0.9924079449056442
25151.373181191324,15364.150389377328,0.993596696819,41005,Belgian Grand Prix,E_har_final,mlp,2,0.9924079449056442
25512.863739015917,16134.702640960839,0.9909595896427458,35518,British Grand Prix,E_har_final,mlp,2,0.9924079449056442
18146.291670295534,13321.690397227865,0.9973906184350603,19579,Canadian Grand Prix,E_har_final,mlp,2,0.9924079449056442
25965.504198070274,16577.252754365305,0.9930644658323243,31689,Chinese Grand Prix,E_har_final,mlp,2,0.9924079449056442
27886.883937760893,14383.337369150178,0.987170107547309,31916,Dutch Grand Prix,E_har_final,mlp,2,0.9924079449056442
16541.054070926664,10169.268362532677,0.9962699935443206,35690,Emilia Romagna Grand Prix,E_har_final,mlp,2,0.9924079449056442
22387.15859310247,11088.302045425573,0.9917032154157978,36675,Hungarian Grand Prix,E_har_final,mlp,2,0.9924079449056442
20693.617257256326,14791.27615808763,0.9952269356871581,19565,Italian Grand Prix,E_har_final,mlp,2,0.9924079449056442
49912.90264669258,26050.339331732837,0.9562637009314325,43518,Japanese Grand Prix,E_har_final,mlp,2,0.9924079449056442
36659.13668397207,20535.66630573911,0.9892848232668324,28700,Las Vegas Grand Prix,E_har_final,mlp,2,0.9924079449056442
12542.59912573969,9503.654710292689,0.9976193376317664,21049,Mexico City Grand Prix,E_har_final,mlp,2,0.9924079449056442
30478.063211752204,17770.950228709233,0.9910921231012216,35413,Miami Grand Prix,E_har_final,mlp,2,0.9924079449056442
22054.94652036844,14137.026123574018,0.9935412700322498,33284,Monaco Grand Prix,E_har_final,mlp,2,0.9924079449056442
19508.89415077993,10250.840857969233,0.9937363685170376,41988,Qatar Grand Prix,E_har_final,mlp,2,0.9924079449056442
24753.17741557984,12814.322980018205,0.9896844186612709,52913,Saudi Arabian Grand Prix,E_har_final,mlp,2,0.9924079449056442
27854.564021741437,14467.597497952353,0.9899921552848133,37308,Singapore Grand Prix,E_har_final,mlp,2,0.9924079449056442
11092.640699127218,8237.167600730207,0.998451252677444,28840,Spanish Grand Prix,E_har_final,mlp,2,0.9924079449056442
15441.554941795108,11233.933920291778,0.9971482130104871,24973,São Paulo Grand Prix,E_har_final,mlp,2,0.9924079449056442
26871.948533645897,14899.63678310923,0.9926411081168872,46039,United States Grand Prix,E_har_final,mlp,2,0.9924079449056442
