rmse,mae,r2,n,nrmse,circuit,target,model,seed,pooled_r2
26854.214248148863,10696.12578539382,0.7154891890745259,36040,0.07672632642328246,Abu Dhabi Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
15369.719944581611,6846.635626857145,0.9340541229000224,26039,0.043913485555947464,Australian Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
23716.07041655192,10323.012393069754,0.7004552240548236,25190,0.06776020119014835,Austrian Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
14685.671399656858,7544.244021079645,0.7963094471733324,39435,0.04195906114187674,Azerbaijan Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
22675.989269167992,7996.8720818864285,0.7077955316542917,26668,0.06478854076905141,Bahrain Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
21227.897310613793,9269.577596203238,0.898345192613537,40975,0.06065113517318226,Belgian Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
23739.524004065832,9825.58021211886,0.8084380488360758,35129,0.06782721144018809,British Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
13844.270919520806,6261.777461042015,0.9417495953536613,19579,0.03955505977005944,Canadian Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
19829.0074058797,8927.924577276237,0.8499596786163149,31689,0.056654306873942,Chinese Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
31265.084943967224,12842.023380832368,0.45586091836818843,31916,0.08932881412562065,Dutch Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
15248.952996848331,7004.3946556112805,0.9170917101279281,35550,0.043568437133852375,Emilia Romagna Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
25704.41206626551,9860.363813323913,0.47437908612576785,36675,0.07344117733218718,Hungarian Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
14316.062256683048,6452.297343917539,0.9538185325058645,19565,0.040903035019094425,Italian Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
49056.55785175783,25841.78271813236,0.44045945313277424,42696,0.14016159386216523,Japanese Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
19754.29233603737,9966.23392550753,0.9209172572588205,28572,0.05644083524582106,Las Vegas Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
8179.149813583773,5182.226477684737,0.9418440957852783,21049,0.023368999467382207,Mexico City Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
29278.12255522108,13571.573087958863,0.7874319956179534,35280,0.0836517787292031,Miami Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
23981.537694070925,10736.129455419747,0.7277251134377664,33284,0.06851867912591693,Monaco Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
20854.466649012185,8498.413106751837,0.44796731939509205,41988,0.0595841904257491,Qatar Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
27056.55459499853,12109.094481687658,0.7244132466051848,52635,0.0773044416999958,Saudi Arabian Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
30530.056823491177,11870.509714275311,0.49925472831953277,37308,0.08722873378140336,Singapore Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
8300.009558158028,4724.103420293513,0.9309397785919878,28840,0.02371431302330865,Spanish Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
11884.471918738147,5655.9605605687675,0.9047607695514167,24973,0.03395563405353756,São Paulo Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
29957.548355778887,12747.129920385383,0.5935713254192798,45844,0.08559299530222539,United States Grand Prix,P_deploy_mean_optimal,mlp,3,0.7725964352461597
