rmse,mae,r2,n,nrmse,circuit,target
67051.35451708849,44285.28770216002,-0.7737360204143102,36040,0.19157529862025283,Abu Dhabi Grand Prix,P_deploy_mean_optimal
84712.53836105003,59950.48038918813,-1.003323710267093,26039,0.24203582388871436,Australian Grand Prix,P_deploy_mean_optimal
64620.11033947007,47938.18355560869,-1.2238816844556988,25190,0.1846288866842002,Austrian Grand Prix,P_deploy_mean_optimal
53787.42118782761,42828.49364699103,-1.7324027866127287,39435,0.15367834625093604,Azerbaijan Grand Prix,P_deploy_mean_optimal
60098.299968392916,43035.76769280396,-1.0524790899104755,26668,0.1717094284811226,Bahrain Grand Prix,P_deploy_mean_optimal
94157.33486008912,66578.6985556659,-0.9999644688778075,40975,0.26902095674311177,Belgian Grand Prix,P_deploy_mean_optimal
82107.8248765343,61642.09979924642,-1.2915763584947921,35129,0.23459378536152659,British Grand Prix,P_deploy_mean_optimal
78373.63833396914,53404.90368245179,-0.8668042659021635,19579,0.22392468095419754,Canadian Grand Prix,P_deploy_mean_optimal
70608.15385411466,48630.77478790819,-0.9024609388108726,31689,0.2017375824403276,Chinese Grand Prix,P_deploy_mean_optimal
54045.36824999514,33533.206446634525,-0.6259517511518637,31916,0.15441533785712896,Dutch Grand Prix,P_deploy_mean_optimal
65733.57677759758,38938.81117250377,-0.5406090128273782,35550,0.18781021936456452,Emilia Romagna Grand Prix,P_deploy_mean_optimal
46740.89435785876,30457.998722664495,-0.7380062091482886,36675,0.13354541245102503,Hungarian Grand Prix,P_deploy_mean_optimal
103511.8025541065,79226.0922565254,-1.4143504833550447,19565,0.29574800729744716,Italian Grand Prix,P_deploy_mean_optimal
87126.41974923332,57359.22745068975,-0.7649692995931836,42696,0.24893262785495235,Japanese Grand Prix,P_deploy_mean_optimal
103161.87598226557,75550.60894028857,-1.156737215891987,28572,0.29474821709218735,Las Vegas Grand Prix,P_deploy_mean_optimal
59867.06193726015,49332.89902846868,-2.1156838029229736,21049,0.17104874839217185,Mexico City Grand Prix,P_deploy_mean_optimal
97907.34868528812,74519.91200661125,-1.3770703053714115,35280,0.27973528195796604,Miami Grand Prix,P_deploy_mean_optimal
63407.86661764143,43684.11567858838,-0.9034427343570053,33284,0.18116533319326125,Monaco Grand Prix,P_deploy_mean_optimal
36648.35395933311,23564.173388640105,-0.7048083388339352,41988,0.10470958274095174,Qatar Grand Prix,P_deploy_mean_optimal
67164.92083941912,43067.02148113836,-0.6982372719434691,52635,0.19189977382691178,Saudi Arabian Grand Prix,P_deploy_mean_optimal
59842.34595024602,41469.41184029277,-0.9238838671414653,37308,0.1709781312864172,Singapore Grand Prix,P_deploy_mean_optimal
44171.661808998484,30880.385929670298,-0.9559522946457824,28840,0.12620474802570997,Spanish Grand Prix,P_deploy_mean_optimal
59147.39610970365,44893.26318428858,-1.3589968456678836,24973,0.168992560313439,São Paulo Grand Prix,P_deploy_mean_optimal
62418.679880540854,41084.589606417634,-0.7644158953944258,45844,0.17833908537297388,United States Grand Prix,P_deploy_mean_optimal
