rmse,mae,r2,n,nrmse,circuit,target,pooled_r2
11.768580339863819,9.854296464263097,-0.02953830450941508,22890,0.2615240075525293,Abu Dhabi Grand Prix,d_X_optimal,-0.015826912446165853
6.706114773441555,5.75685684493966,-0.11595286525120163,16170,0.14902477274314566,Australian Grand Prix,d_X_optimal,-0.015826912446165853
12.092343362052135,10.327133801620448,-0.04637177832875916,16793,0.26871874137893637,Austrian Grand Prix,d_X_optimal,-0.015826912446165853
15.743895095779967,14.757536981784703,-0.8281205657108679,27825,0.34986433546177703,Azerbaijan Grand Prix,d_X_optimal,-0.015826912446165853
13.27695120243133,10.511836659893955,-0.018866575696919963,22386,0.2950433600540296,Bahrain Grand Prix,d_X_optimal,-0.015826912446165853
10.090343153108364,8.389051538753414,-0.013731672404637019,29596,0.22422984784685254,Belgian Grand Prix,d_X_optimal,-0.015826912446165853
6.557446147649764,5.452390331040083,-0.2538359090409408,19845,0.14572102550332808,British Grand Prix,d_X_optimal,-0.015826912446165853
11.063252066723074,8.78454437880593,-0.005153569898724175,19579,0.2458500459271794,Canadian Grand Prix,d_X_optimal,-0.015826912446165853
14.188551622852788,13.01550309166356,-0.028918467527335956,25949,0.3153011471745064,Chinese Grand Prix,d_X_optimal,-0.015826912446165853
9.865352724667272,9.24622598251128,-0.004119589245531685,19880,0.2192300605481616,Dutch Grand Prix,d_X_optimal,-0.015826912446165853
9.542800094897641,9.050190644003804,-0.3215843853566547,27293,0.2120622243310587,Emilia Romagna Grand Prix,d_X_optimal,-0.015826912446165853
10.099980267341369,9.841246783966207,-0.36549870827339337,24360,0.22444400594091932,Hungarian Grand Prix,d_X_optimal,-0.015826912446165853
11.159155612139832,8.947327432907338,-0.22900440509574338,16765,0.2479812358253296,Italian Grand Prix,d_X_optimal,-0.015826912446165853
11.304295140968321,9.413249590298367,-0.012971811781351983,21259,0.2512065586881849,Japanese Grand Prix,d_X_optimal,-0.015826912446165853
13.799255267036463,11.995205846073295,-0.24531683466644272,26320,0.30665011704525474,Las Vegas Grand Prix,d_X_optimal,-0.015826912446165853
14.709896183361318,12.646179813411804,-0.34154930658149696,18669,0.3268865818524737,Mexico City Grand Prix,d_X_optimal,-0.015826912446165853
10.384833182596184,8.320792928789016,-0.0001803617954598824,19040,0.23077407072435965,Miami Grand Prix,d_X_optimal,-0.015826912446165853
16.670557560798777,14.350787942648621,-0.15832150275279266,27125,0.37045683468441726,Monaco Grand Prix,d_X_optimal,-0.015826912446165853
10.489774142407843,10.332789968339636,-0.9999246515277354,25193,0.2331060920535076,Qatar Grand Prix,d_X_optimal,-0.015826912446165853
10.062165662143926,9.869706066398221,-25.393395983280122,23100,0.22360368138097614,Saudi Arabian Grand Prix,d_X_optimal,-0.015826912446165853
12.81958489138879,10.3896586147744,-0.07144725856715373,31010,0.2848796642530842,Singapore Grand Prix,d_X_optimal,-0.015826912446165853
9.236065471425762,8.58772094855681,-1.2740779678706264,26390,0.20524589936501694,Spanish Grand Prix,d_X_optimal,-0.015826912446165853
11.760525987144163,9.71448585367292,-0.0018974818726582576,19935,0.26134502193653697,São Paulo Grand Prix,d_X_optimal,-0.015826912446165853
14.32121815911163,13.404245769729682,-0.02566615084010837,25046,0.3182492924247029,United States Grand Prix,d_X_optimal,-0.015826912446165853
