rmse,mae,r2,n,nrmse,circuit,target,model,seed,pooled_r2
27574.696272963498,10494.535774409718,0.7000178941151449,36040,0.07878484649418142,Abu Dhabi Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
16810.135201211557,7135.631684026537,0.9211143236689617,26039,0.0480289577177473,Australian Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
23433.362891043213,10189.493934707516,0.707554108946989,25190,0.06695246540298061,Austrian Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
14599.778301183085,7477.142451740648,0.7986851572569149,39435,0.04171365228909453,Azerbaijan Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
22953.11594876828,8084.597185157178,0.7006097393907385,26668,0.06558033128219509,Bahrain Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
20388.433206730482,8431.850747216215,0.9062261663426124,40975,0.05825266630494424,Belgian Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
24504.920820321426,10541.369195950565,0.7958864455879895,35129,0.07001405948663264,British Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
13533.867795567543,6280.901147986028,0.9443323834177445,19579,0.03866819370162155,Canadian Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
20273.35590407764,10205.08685122108,0.8431598225557068,31689,0.0579238740116504,Chinese Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
32576.48418081502,12448.81388380582,0.40925627674221865,31916,0.0930756690880429,Dutch Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
14870.615202319705,6569.601809733438,0.9211547059422359,35550,0.042487472006627724,Emilia Romagna Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
26113.980467373152,9858.869579876578,0.45749538457086536,36675,0.0746113727639233,Hungarian Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
13068.702399685595,6223.242636428035,0.9615155300647295,19565,0.037339149713387414,Italian Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
49488.81532559724,24994.425004731875,0.43055532685812425,42696,0.14139661521599212,Japanese Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
19194.940301175124,8754.741754178953,0.925332381187239,28572,0.05484268657478607,Las Vegas Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
8815.161725918313,5709.61469866276,0.9324480243063548,21049,0.02518617635976661,Mexico City Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
28630.90912306515,12866.781842566601,0.7967260513316605,35280,0.08180259749447186,Miami Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
24324.20379141743,12029.443892464213,0.7198885902343282,33284,0.0694977251183355,Monaco Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
20743.789516969075,7319.401195450534,0.4538111771494131,41988,0.05926797004848307,Qatar Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
27468.243792939065,12689.647538427214,0.7159628538547413,52635,0.07848069655125448,Saudi Arabian Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
31075.303107424592,11626.102280799827,0.4812090652018951,37308,0.0887865803069274,Singapore Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
7939.976187076757,4342.2431631074605,0.9368011491965423,28840,0.022685646248790735,Spanish Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
11613.124866465309,5116.957753710683,0.9090601379020743,24973,0.03318035676132945,São Paulo Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
30076.48779104787,12501.910659175612,0.5903376589941394,45844,0.08593282226013678,United States Grand Prix,P_deploy_mean_optimal,mlp,1,0.7688848033094946
