rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
59918.008183486905,28904.89446676721,0.9829074543944919,36742,Abu Dhabi Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
34090.169143213774,20904.729895735487,0.9936399696112774,26039,Australian Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
43716.975180907946,25248.40518967477,0.994878578216443,25190,Austrian Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
37707.14219126809,23876.6881066184,0.9936556494065886,39435,Azerbaijan Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
47999.59515012941,21656.18884750565,0.9933319358045921,26795,Bahrain Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
46311.382040106786,27682.195307768998,0.9926869815854668,41005,Belgian Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
48676.25021856533,25902.3495684315,0.9896744431176052,35518,British Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
21164.04727208225,16086.174901354063,0.9986413816477508,19579,Canadian Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
48763.48124540162,28271.644373477353,0.9928991230929031,31689,Chinese Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
64236.69218392007,29258.840373356612,0.9767057475127019,31916,Dutch Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
28440.55357492438,18028.69364186909,0.9972875301539215,35690,Emilia Romagna Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
44591.63611712435,20029.932036658673,0.9853215836360134,36675,Hungarian Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
30629.780345967214,23053.90535238622,0.9970386071280782,19565,Italian Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
100182.67943585852,51317.07432585744,0.9670549272359288,43518,Japanese Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
41910.466205385885,27631.538042524444,0.996787177611753,28700,Las Vegas Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
20213.33070338197,15535.760785738466,0.998436799755016,21049,Mexico City Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
62345.55163090022,34019.71660198662,0.988237926587315,35413,Miami Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
55625.99588828909,35849.98523623183,0.9862531166173368,33284,Monaco Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
37260.19820188826,19981.14314634344,0.9901644273464,41988,Qatar Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
49044.493505841994,26898.215945969787,0.9833090295425377,52913,Saudi Arabian Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
69368.31145252545,26388.09690843986,0.9797646478162599,37308,Singapore Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
19033.891452975673,14382.448957648816,0.997845313849289,28840,Spanish Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
26029.231767793255,17161.633556259563,0.9968340282122902,24973,São Paulo Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
57411.97173727735,25178.731235857616,0.9755709345361305,46039,United States Grand Prix,net_depletion_J,mlp,2,0.9896358212505991
