rmse,mae,r2,n,circuit,target,pooled_r2
3.6694874544748513,2.5531080315540677,-0.00010218511874482417,36742,Abu Dhabi Grand Prix,dt_optimal,-0.009781053982284904
3.552278805665719,2.829632130642447,-0.05025768456844526,26039,Australian Grand Prix,dt_optimal,-0.009781053982284904
2.8869338952659147,2.2032470131197917,-0.035517972752017624,25190,Austrian Grand Prix,dt_optimal,-0.009781053982284904
2.4752352115184904,1.8915180187200915,-0.004086482547661419,39435,Azerbaijan Grand Prix,dt_optimal,-0.009781053982284904
3.076760660898146,2.3756631429082127,-0.21185515087770757,26795,Bahrain Grand Prix,dt_optimal,-0.009781053982284904
3.1433816725988306,2.4916881817599403,-0.057032278567371586,41005,Belgian Grand Prix,dt_optimal,-0.009781053982284904
2.8543583301710713,2.431455747148546,-0.009967847036618904,35518,British Grand Prix,dt_optimal,-0.009781053982284904
3.267041612850574,2.5992894664620283,-0.7854917087697362,19579,Canadian Grand Prix,dt_optimal,-0.009781053982284904
3.992543895663411,2.389786071106484,-0.061872141343182196,31689,Chinese Grand Prix,dt_optimal,-0.009781053982284904
1.9198853722207425,1.5749057046537003,-0.1886054431221429,31916,Dutch Grand Prix,dt_optimal,-0.009781053982284904
2.0039610067428058,1.6625674812131015,-0.00957201574120603,35690,Emilia Romagna Grand Prix,dt_optimal,-0.009781053982284904
1.6866965540084617,1.4609257053680176,-0.37912554618961614,36675,Hungarian Grand Prix,dt_optimal,-0.009781053982284904
4.589418236678176,3.691997006277711,-0.5530050311001413,19565,Italian Grand Prix,dt_optimal,-0.009781053982284904
2.827659308653488,2.287723994518455,-0.05373714969853327,43518,Japanese Grand Prix,dt_optimal,-0.009781053982284904
4.067812881869376,2.991315246291989,-0.21072184535449145,28700,Las Vegas Grand Prix,dt_optimal,-0.009781053982284904
2.8261409775973023,2.2285134823698436,-0.036576126827871924,21049,Mexico City Grand Prix,dt_optimal,-0.009781053982284904
4.1909879954923355,3.111235100962664,-0.002243006459331065,35413,Miami Grand Prix,dt_optimal,-0.009781053982284904
1.4696719260155175,1.136562668820923,-0.5848847487114652,33284,Monaco Grand Prix,dt_optimal,-0.009781053982284904
1.7534200277611471,1.4895984024456244,-0.568492996564889,41988,Qatar Grand Prix,dt_optimal,-0.009781053982284904
2.267503558128345,2.062241456330186,-1.4643184144998629,52913,Saudi Arabian Grand Prix,dt_optimal,-0.009781053982284904
1.70764294093759,1.3108321851586267,-0.016820795000204614,37308,Singapore Grand Prix,dt_optimal,-0.009781053982284904
1.7322043404939274,1.5124495408963579,-0.014433250994290159,28840,Spanish Grand Prix,dt_optimal,-0.009781053982284904
2.1208351106366243,1.6393403562416695,-0.007377833956756064,24973,São Paulo Grand Prix,dt_optimal,-0.009781053982284904
3.26249978085929,2.265316231861187,-0.05744555385866579,46039,United States Grand Prix,dt_optimal,-0.009781053982284904
