soc,bias,rmse
0.2,-52823.91533032654,89380.99145138127
0.3,-33550.21267234568,77348.10936805293
0.4,-20093.08742717001,67762.48032278463
0.5,-12843.644346909688,63142.43199849908
0.6,-1794.6960119416412,50610.46587740471
0.7,469.6067955276944,51243.73098833805
0.8,3985.275595306001,54699.907298603684
0.9,18453.10315988591,67821.63241169194
