year,gp,driver,sector_id,initial_SoC,converged,v_max_solved_ms,v_max_solved_kph,n_intervals_above_355kph,env_perm_err_W
2025,Italian Grand Prix,ALO,6,0.1,True,93.85968931551375,337.8948815358495,0,
2025,Italian Grand Prix,ALO,6,0.2,True,94.76986666055193,341.1715199779869,0,
2025,Italian Grand Prix,ALO,6,0.30000000000000004,True,96.06892311691874,345.8481232209075,0,
2025,Italian Grand Prix,ALO,6,0.4,True,97.68582564794802,351.6689723326129,0,
2025,Italian Grand Prix,ALO,6,0.5,True,98.88314753219106,355.9793311158878,15,2312.6257272830676
2025,Italian Grand Prix,ALO,6,0.6,True,98.88316877055341,355.97940757399226,15,2312.939578288153
2025,Italian Grand Prix,ALO,6,0.7000000000000001,True,98.88319802940592,355.9795129058613,15,2312.9827443638083
2025,Italian Grand Prix,ALO,6,0.8,True,98.88320571733863,355.9795405824191,15,2313.004135056565
2025,Italian Grand Prix,ALO,6,0.9,True,98.88340859105176,355.98027092778636,15,2312.878286160569
2025,Italian Grand Prix,ALO,6,1.0,True,98.88321434627898,355.9795716466043,15,2313.0322873216164
2025,Italian Grand Prix,TSU,2,0.1,True,95.09045465254113,342.3256367491481,0,
2025,Italian Grand Prix,TSU,2,0.2,True,97.57603671372433,351.2737321694076,0,
2025,Italian Grand Prix,TSU,2,0.30000000000000004,True,98.65436722797922,355.1557220207252,5,2344.5016434145277
2025,Italian Grand Prix,TSU,2,0.4,True,98.65291978604205,355.1505112297514,5,2415.440348764503
2025,Italian Grand Prix,TSU,2,0.5,True,98.65106153876673,355.14382153956024,5,2432.2375705427
2025,Italian Grand Prix,TSU,2,0.6,True,98.65107676606401,355.14387635783044,5,2431.73104244369
2025,Italian Grand Prix,TSU,2,0.7000000000000001,True,98.65302196334494,355.1508790680418,5,2413.1142408021765
2025,Italian Grand Prix,TSU,2,0.8,True,98.65340902006974,355.15227247225107,5,2401.9866385263463
2025,Italian Grand Prix,TSU,2,0.9,True,98.65273692709371,355.1498529375374,5,2420.3828536196906
2025,Italian Grand Prix,TSU,2,1.0,True,98.6511195256863,355.1440302924707,5,2429.479169424631
2024,Japanese Grand Prix,SAI,13,0.1,True,93.87280331047633,337.9420919177148,0,
2024,Japanese Grand Prix,SAI,13,0.2,True,94.76682448187645,341.16056813475524,0,
2024,Japanese Grand Prix,SAI,13,0.30000000000000004,True,95.89600297757454,345.22561071926833,0,
2024,Japanese Grand Prix,SAI,13,0.4,True,97.40069719046119,350.6425098856603,0,
2024,Japanese Grand Prix,SAI,13,0.5,True,98.88977163671395,356.0031778921702,15,1680.498906461668
2024,Japanese Grand Prix,SAI,13,0.6,True,98.88934764274008,356.00165151386426,15,1680.9315776029325
2024,Japanese Grand Prix,SAI,13,0.7000000000000001,True,98.89018289781542,356.0046584321355,15,1679.4403740879834
2024,Japanese Grand Prix,SAI,13,0.8,True,98.890094545979,356.0043403655244,15,1679.6176700233177
2024,Japanese Grand Prix,SAI,13,0.9,True,98.89004867693299,356.00417523695876,15,1679.709556552119
2024,Japanese Grand Prix,SAI,13,1.0,True,98.8889509785366,356.00022352273174,15,1680.9824369297335
2024,Bahrain Grand Prix,SAR,12,0.1,True,88.56759717593737,318.84334983337453,0,
2024,Bahrain Grand Prix,SAR,12,0.2,True,90.15713817816645,324.5656974413992,0,
2024,Bahrain Grand Prix,SAR,12,0.30000000000000004,True,92.12418946340219,331.64708206824787,0,
2024,Bahrain Grand Prix,SAR,12,0.4,True,94.61684944058128,340.6206579860926,0,
2024,Bahrain Grand Prix,SAR,12,0.5,True,97.81762542610313,352.1434515339713,0,
2024,Bahrain Grand Prix,SAR,12,0.6,True,98.48725125590693,354.55410452126495,0,
2024,Bahrain Grand Prix,SAR,12,0.7000000000000001,True,98.48724245939111,354.554072853808,0,
2024,Bahrain Grand Prix,SAR,12,0.8,True,98.48724709684026,354.554089548625,0,
2024,Bahrain Grand Prix,SAR,12,0.9,True,98.48725246939267,354.5541088898136,0,
2024,Bahrain Grand Prix,SAR,12,1.0,True,98.48724572864471,354.55408462312096,0,
2024,Italian Grand Prix,HAM,1,0.1,True,82.57201532221927,297.2592551599894,0,
2024,Italian Grand Prix,HAM,1,0.2,True,84.1719182755215,303.01890579187744,0,
2024,Italian Grand Prix,HAM,1,0.30000000000000004,True,87.56210340614525,315.2235722621229,0,
2024,Italian Grand Prix,HAM,1,0.4,True,91.54703563175832,329.56932827432996,0,
2024,Italian Grand Prix,HAM,1,0.5,True,95.34931901244421,343.25754844479917,0,
2024,Italian Grand Prix,HAM,1,0.6,True,95.34774463588008,343.2518806891683,0,
2024,Italian Grand Prix,HAM,1,0.7000000000000001,True,95.34812594881372,343.2532534157294,0,
2024,Italian Grand Prix,HAM,1,0.8,True,95.3475089592435,343.2510322532766,0,
2024,Italian Grand Prix,HAM,1,0.9,True,95.34775152043848,343.2519054735785,0,
2024,Italian Grand Prix,HAM,1,1.0,True,95.34703004435126,343.2493081596645,0,
2025,Saudi Arabian Grand Prix,HAM,20,0.1,True,97.53737329793974,351.13454387258304,0,
2025,Saudi Arabian Grand Prix,HAM,20,0.2,True,98.04703827605532,352.9693377937991,0,
2025,Saudi Arabian Grand Prix,HAM,20,0.30000000000000004,True,98.04756656820805,352.971239645549,0,
2025,Saudi Arabian Grand Prix,HAM,20,0.4,True,98.04676501678246,352.96835406041686,0,
2025,Saudi Arabian Grand Prix,HAM,20,0.5,True,98.04698194290259,352.96913499444935,0,
2025,Saudi Arabian Grand Prix,HAM,20,0.6,True,98.04664082482773,352.96790696937984,0,
2025,Saudi Arabian Grand Prix,HAM,20,0.7000000000000001,True,98.04697261122523,352.9691014004108,0,
2025,Saudi Arabian Grand Prix,HAM,20,0.8,True,98.04664553319013,352.96792391948446,0,
2025,Saudi Arabian Grand Prix,HAM,20,0.9,True,98.04691516724714,352.9688946020897,0,
2025,Saudi Arabian Grand Prix,HAM,20,1.0,True,98.04652150184506,352.9674774066422,0,
2024,Miami Grand Prix,ALB,7,0.1,True,83.4898060482502,300.56330177370074,0,
2024,Miami Grand Prix,ALB,7,0.2,True,85.84388239798002,309.0379766327281,0,
2024,Miami Grand Prix,ALB,7,0.30000000000000004,True,88.72791801098309,319.42050483953915,0,
2024,Miami Grand Prix,ALB,7,0.4,True,92.26754011766513,332.1631444235945,0,
2024,Miami Grand Prix,ALB,7,0.5,True,96.60825771057073,347.7897277580546,0,
2024,Miami Grand Prix,ALB,7,0.6,True,96.97526817407874,349.11096542668344,0,
2024,Miami Grand Prix,ALB,7,0.7000000000000001,True,96.96282084824357,349.0661550536768,0,
2024,Miami Grand Prix,ALB,7,0.8,True,96.96512377498706,349.0744455899534,0,
2024,Miami Grand Prix,ALB,7,0.9,True,96.96801670373424,349.08486013344327,0,
