harvest_cap_MJ,depletion_cap_MJ,n,dangerous_rate,conservative_rate,n_infeasible_all_lambda,mean_lap_time_cost_s,median_lap_time_cost_s
8.5,4.0,65240,0.14255058246474556,0.001870018393623544,1,0.05079871214001909,0.0
8.5,3.95,65240,0.1361587982832618,0.001870018393623544,19,0.05079871214001909,0.0
8.5,3.9,65240,0.12972103004291846,0.0020079705702023298,20,0.05079871214001909,0.0
8.5,3.8,65240,0.12219497240956469,0.0033261802575107295,39,0.05079871214001909,0.0
8.4,4.0,65240,0.14069589209074188,0.0030809319435928877,1,0.05455092434355979,0.0
8.4,3.95,65240,0.13430410790925812,0.0030809319435928877,20,0.05455092434355979,0.0
8.4,3.9,65240,0.12786633966891478,0.003218884120171674,21,0.05455092434355979,0.0
8.4,3.8,65240,0.120340282035561,0.004537093807480074,40,0.05455092434355979,0.0
8.3,4.0,65240,0.140113427345187,0.004782342121397915,1,0.059710086336499955,0.0
8.3,3.95,65240,0.13372164316370325,0.004782342121397915,20,0.059710086336499955,0.0
8.3,3.9,65240,0.1272838749233599,0.004920294297976701,21,0.059710086336499955,0.0
8.3,3.8,65240,0.11975781729000613,0.006238503985285101,40,0.059710086336499955,0.0
8.2,4.0,65240,0.13979153893316984,0.006453096259963213,1,0.06399480716772817,0.0
8.2,3.95,65240,0.13339975475168608,0.006453096259963213,20,0.06399480716772817,0.0
8.2,3.9,65240,0.12696198651134274,0.006591048436541999,21,0.06399480716772817,0.0
8.2,3.8,65240,0.11943592887798897,0.0079092581238504,42,0.06386000295318024,0.0
8.0,4.0,65240,0.13968424279583078,0.0134886572654813,1,0.07525760097378242,0.0
8.0,3.95,65240,0.13329245861434702,0.0134886572654813,20,0.07525760097378242,0.0
8.0,3.9,65240,0.12685469037400368,0.013626609442060086,21,0.07525760097378242,0.0
8.0,3.8,65240,0.1193286327406499,0.014944819129368486,45,0.07493556186450284,0.0
