rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
35378.88330256319,21074.87307792607,0.9881509377778891,36742,Abu Dhabi Grand Prix,E_har_final,xgb,2,0.9881709424934958
26968.515849452637,18804.870199230867,0.9930329435443402,26039,Australian Grand Prix,E_har_final,xgb,2,0.9881709424934958
30762.910927108467,19901.71712013789,0.9919425787284125,25190,Austrian Grand Prix,E_har_final,xgb,2,0.9881709424934958
30579.049299599534,21522.859594318328,0.9916905725874784,39435,Azerbaijan Grand Prix,E_har_final,xgb,2,0.9881709424934958
35964.18669887937,23415.017852575245,0.9855999232700573,26795,Bahrain Grand Prix,E_har_final,xgb,2,0.9881709424934958
35786.53610088209,22190.250517233457,0.9870365681119821,41005,Belgian Grand Prix,E_har_final,xgb,2,0.9881709424934958
27773.585028787173,17273.585918125413,0.9892864448455233,35518,British Grand Prix,E_har_final,xgb,2,0.9881709424934958
26757.814109579747,18681.26461702058,0.9943263429594769,19579,Canadian Grand Prix,E_har_final,xgb,2,0.9881709424934958
30610.05945980898,21104.3105520589,0.9903613825947907,31689,Chinese Grand Prix,E_har_final,xgb,2,0.9881709424934958
33136.28797534165,21589.58068528844,0.9818853165506836,31916,Dutch Grand Prix,E_har_final,xgb,2,0.9881709424934958
22939.267660711033,15411.66857808029,0.9928263147371447,35690,Emilia Romagna Grand Prix,E_har_final,xgb,2,0.9881709424934958
31331.320166187135,20440.450233501655,0.9837494055680761,36675,Hungarian Grand Prix,E_har_final,xgb,2,0.9881709424934958
33443.69203414052,23071.299403864617,0.9875332602679922,19565,Italian Grand Prix,E_har_final,xgb,2,0.9881709424934958
50848.010603567796,29743.145157409705,0.9546095686974553,43518,Japanese Grand Prix,E_har_final,xgb,2,0.9881709424934958
42718.99211028753,25687.28530317797,0.9854495351735126,28700,Las Vegas Grand Prix,E_har_final,xgb,2,0.9881709424934958
22684.32738864209,17591.218074152064,0.9922129217983684,21049,Mexico City Grand Prix,E_har_final,xgb,2,0.9881709424934958
33427.867627719555,20033.37562443344,0.9892843918651318,35413,Miami Grand Prix,E_har_final,xgb,2,0.9881709424934958
37934.847958244885,25725.02173738979,0.9808921508049634,33284,Monaco Grand Prix,E_har_final,xgb,2,0.9881709424934958
25152.036382679347,15332.260486720794,0.9895886463502515,41988,Qatar Grand Prix,E_har_final,xgb,2,0.9881709424934958
34831.28927801432,20237.378085562912,0.9795745845438278,52913,Saudi Arabian Grand Prix,E_har_final,xgb,2,0.9881709424934958
35672.69157838965,21767.15496881923,0.9835858051145695,37308,Singapore Grand Prix,E_har_final,xgb,2,0.9881709424934958
23797.817330630536,16046.2921256196,0.9928717170580631,28840,Spanish Grand Prix,E_har_final,xgb,2,0.9881709424934958
26848.68619794609,17849.480507284563,0.9913785344085277,24973,São Paulo Grand Prix,E_har_final,xgb,2,0.9881709424934958
31348.938949081243,19505.279320439557,0.9899847960809339,46039,United States Grand Prix,E_har_final,xgb,2,0.9881709424934958
