rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
60722.440730568014,28689.06505106005,0.9824454196984467,36742,Abu Dhabi Grand Prix,net_depletion_J,mlp,3,0.990003670949645
25810.305827477303,15862.286994261362,0.9963542475212044,26039,Australian Grand Prix,net_depletion_J,mlp,3,0.990003670949645
42414.81076608041,23384.90322841467,0.9951791302076382,25190,Austrian Grand Prix,net_depletion_J,mlp,3,0.990003670949645
34592.34466086017,21548.86037986517,0.994660508052712,39435,Azerbaijan Grand Prix,net_depletion_J,mlp,3,0.990003670949645
51100.37454299311,25967.445784107636,0.9924425933712856,26795,Bahrain Grand Prix,net_depletion_J,mlp,3,0.990003670949645
42277.711300948824,24746.231431955148,0.9939054152381386,41005,Belgian Grand Prix,net_depletion_J,mlp,3,0.990003670949645
45697.95239411942,23398.44092535257,0.9908993432262329,35518,British Grand Prix,net_depletion_J,mlp,3,0.990003670949645
23098.260579749756,17347.94714525614,0.998381701677717,19579,Canadian Grand Prix,net_depletion_J,mlp,3,0.990003670949645
47296.740934962145,26664.702680664577,0.9933198685097139,31689,Chinese Grand Prix,net_depletion_J,mlp,3,0.990003670949645
65447.48039197643,28625.8910897092,0.9758193314889216,31916,Dutch Grand Prix,net_depletion_J,mlp,3,0.990003670949645
27898.269987033644,17504.944545455048,0.9973899827725091,35690,Emilia Romagna Grand Prix,net_depletion_J,mlp,3,0.990003670949645
44592.176076158365,21729.17735953085,0.9853212281526897,36675,Hungarian Grand Prix,net_depletion_J,mlp,3,0.990003670949645
28748.645174461846,21206.331854812786,0.9973911865351477,19565,Italian Grand Prix,net_depletion_J,mlp,3,0.990003670949645
99723.92878986233,50751.278735856096,0.9673559567133523,43518,Japanese Grand Prix,net_depletion_J,mlp,3,0.990003670949645
48127.0227649765,31741.612987159802,0.9957633779125782,28700,Las Vegas Grand Prix,net_depletion_J,mlp,3,0.990003670949645
22424.566813175312,16769.721587697,0.9980760801465718,21049,Mexico City Grand Prix,net_depletion_J,mlp,3,0.990003670949645
60606.42586589751,31524.129901407305,0.9888849789824986,35413,Miami Grand Prix,net_depletion_J,mlp,3,0.990003670949645
46929.86890857809,28013.067913407445,0.990215304117499,33284,Monaco Grand Prix,net_depletion_J,mlp,3,0.990003670949645
35859.159014915094,17423.308797673275,0.9908901855888821,41988,Qatar Grand Prix,net_depletion_J,mlp,3,0.990003670949645
48203.96083380717,26019.557968182056,0.9838762323706451,52913,Saudi Arabian Grand Prix,net_depletion_J,mlp,3,0.990003670949645
68381.09110650663,25380.9260256734,0.9803365112694361,37308,Singapore Grand Prix,net_depletion_J,mlp,3,0.990003670949645
21037.069402534817,16067.317299870152,0.9973679185580195,28840,Spanish Grand Prix,net_depletion_J,mlp,3,0.990003670949645
28841.88299279665,18944.2317239545,0.9961128476629203,24973,São Paulo Grand Prix,net_depletion_J,mlp,3,0.990003670949645
56286.08871103079,24695.974343837206,0.976519676819432,46039,United States Grand Prix,net_depletion_J,mlp,3,0.990003670949645
