label,n,dangerous_rate,conservative_rate,dt_median,dt_p95,dt_mean,within_05,within_2,within_5
"OPEN-LOOP, in-grid",12906,0.004958933829226716,0.005578800557880056,-0.048399513922838366,0.40095185024867064,-0.06447081520420364,0.14551371455137146,0.5454827212149388,0.896559739655974
"OPEN-LOOP, sub-grid",52334,0.1768257729200902,0.0004012687736461956,0.23743255804362562,1.1072379935508787,0.2823309716475681,0.09135552413345054,0.35005923491420493,0.7241372721366607
"RE-GROUNDED, in-grid",13188,0.004170457992114043,0.004549590536851683,-0.04949964852978539,0.4056355069124487,-0.06161053564544722,0.1432362754018805,0.5441310282074613,0.8996815286624203
"RE-GROUNDED, sub-grid",52052,0.1407054483977561,0.0006147698455390763,0.39893059255288676,1.4624748871068243,0.4666840093539256,0.0710827633904557,0.2640628602167064,0.560554829785599
