rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
19.35056905937451,9.906754823425858,0.9891099851441232,36742,Abu Dhabi Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
30.21222932246397,12.721226660800495,0.9703783247472554,26039,Australian Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
31.86367201926587,12.992758518952707,0.9410424033185303,25190,Austrian Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
17.421857417578266,10.180208730139237,0.9759190034675044,39435,Azerbaijan Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
19.429412331476005,11.009009566017886,0.9820323271392631,26795,Bahrain Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
31.074969552053066,14.661600684852282,0.957117512615436,41005,Belgian Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
19.170236891378668,11.095928448712026,0.9813930601848889,35518,British Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
30.527946384230777,14.984879731632684,0.9577057239951522,19579,Canadian Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
46.54193226361525,17.80558843156494,0.9474185043900812,31689,Chinese Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
14.510655275114049,8.187775997890238,0.9686898701920086,31916,Dutch Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
20.70947121118625,9.869380067312273,0.9528573993581023,35690,Emilia Romagna Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
11.385884228958497,6.668822218532861,0.9757584185655307,36675,Hungarian Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
42.32804486148457,19.7138306155479,0.965005426582731,19565,Italian Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
24.150706321812923,14.290977942817674,0.9719161474636894,43518,Japanese Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
70.34915025454193,26.08469679410715,0.8434319887513293,28700,Las Vegas Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
9.361241760858247,5.874103195717445,0.9948705168436222,21049,Mexico City Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
25.725135995375243,12.157196878700319,0.9838468937908289,35413,Miami Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
9.766511633778988,6.008755560238736,0.9647705345175077,33284,Monaco Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
11.216889140290897,6.766209979447975,0.9755865584074975,41988,Qatar Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
16.968778947374236,9.48548798281782,0.9422484348087605,52913,Saudi Arabian Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
18.43613368021684,8.766822484614472,0.9525067506727077,37308,Singapore Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
11.144460465327505,6.841220241382613,0.9867409810587368,28840,Spanish Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
10.456886955951633,5.910549850624256,0.991116592199557,24973,São Paulo Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
22.18439645744122,9.298602924557796,0.9776619447472119,46039,United States Grand Prix,d_coast_optimal,xgb,0,0.9648406229413898
