rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
78004.52183220489,50127.30668645104,0.9710311290307837,36742,Abu Dhabi Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
45470.71795972904,32938.360285674724,0.9886847409326012,26039,Australian Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
65894.4842761323,45320.41657275535,0.9883644086293566,25190,Austrian Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
70292.07931834164,48862.69368669748,0.9779528367469386,39435,Azerbaijan Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
68235.45499006502,43335.75789493343,0.986524502524248,26795,Bahrain Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
72479.31117250396,52587.06274549404,0.9820877847953139,41005,Belgian Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
63314.205020530244,40762.24586647491,0.9825304559532709,35518,British Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
57617.93744396433,42716.44859787838,0.9899303251729215,19579,Canadian Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
81198.69587366127,55977.12417271547,0.9803111347140583,31689,Chinese Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
83027.16193414215,55608.74119583037,0.9610844810741038,31916,Dutch Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
61748.63588465295,42738.16400270848,0.9872137390395399,35690,Emilia Romagna Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
65539.24562032684,44233.97760703285,0.9682915316571555,36675,Hungarian Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
66286.65265943596,52404.473090216816,0.9861305116814636,19565,Italian Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
107183.93274812808,64863.573570437016,0.9622893028556997,43518,Japanese Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
67138.93067887452,50336.745028926285,0.9917550016392053,28700,Las Vegas Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
39915.361034137204,29429.874592388427,0.993904364701851,21049,Mexico City Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
75928.14613739285,50478.58421860828,0.9825546962970069,35413,Miami Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
84174.08112846088,60546.01067223662,0.9685221241519454,33284,Monaco Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
57487.81154697149,39922.84789750124,0.9765867942484189,41988,Qatar Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
86511.94119345838,55094.7485024636,0.9480658300464637,52913,Saudi Arabian Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
78147.4723723649,45321.18529695699,0.9743186179085949,37308,Singapore Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
54752.56113768137,39839.618283690244,0.9821705592394486,28840,Spanish Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
57260.30576264007,41826.18579062018,0.9846788393935427,24973,São Paulo Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
66465.3188577557,41293.10315579442,0.967258986894792,46039,United States Grand Prix,net_depletion_J,xgb,2,0.9795592771391493
