rmse,mae,r2,n,nrmse,circuit,target,model,seed,pooled_r2
27039.614268647834,11498.423707973765,0.7115471339909492,36040,0.07725604076756525,Abu Dhabi Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
15483.075617105122,6325.196810594616,0.9330777999014049,26039,0.044237358906014636,Australian Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
24389.138569003357,11470.958566178131,0.6832116441106912,25190,0.0696832530542953,Austrian Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
14494.845793768545,7420.119231048641,0.8015685650984866,39435,0.04141384512505299,Azerbaijan Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
23046.278924961887,8800.138328947822,0.6981744541322972,26668,0.06584651121417683,Bahrain Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
21129.595383991196,9328.081705556211,0.899284496760956,40975,0.060370272525689134,Belgian Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
23094.20754739844,9206.04958763403,0.818711035897939,35129,0.06598345013542412,British Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
12030.415816520886,6166.0104298238,0.9560134353786038,19579,0.034372616618631106,Canadian Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
20103.69068464134,10018.316718492955,0.8457739900363117,31689,0.0574391162418324,Chinese Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
31719.485317221945,13124.852584798753,0.43992916614804367,31916,0.09062710090634842,Dutch Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
15648.792614104968,7776.169360521266,0.912686866232914,35550,0.04471083604029991,Emilia Romagna Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
25870.487586034662,9453.614322985577,0.467565099144569,36675,0.0739156788172419,Hungarian Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
13737.432903570703,6589.691554192314,0.9574762319047208,19565,0.039249808295916296,Italian Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
49565.69665270551,25532.36296693483,0.42878467755280647,42696,0.14161627615058717,Japanese Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
18913.853277519087,9136.755152518912,0.9275032059528041,28572,0.05403958079291168,Las Vegas Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
8877.826794453758,5864.760945590767,0.931484185958896,21049,0.025365219412725022,Mexico City Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
28584.451443281425,13104.563873664698,0.7973851973029425,35280,0.08166986126651836,Miami Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
24017.274991906615,11412.110301932396,0.7269130204904077,33284,0.06862078569116176,Monaco Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
20686.775406093446,7860.130252802184,0.45680944084030006,41988,0.05910507258883842,Qatar Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
27520.171957428738,12276.26912180589,0.7148879056636059,52635,0.07862906273551068,Saudi Arabian Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
30350.66025283988,12035.29001108787,0.5051222611431946,37308,0.08671617215097109,Singapore Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
8123.062246126239,4741.637388285095,0.933852970821068,28840,0.023208749274646397,Spanish Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
12198.857782257212,5858.799252641193,0.8996553005842697,24973,0.03485387937787775,São Paulo Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
29924.91381176078,12819.528783139007,0.5944563370958207,45844,0.08549975374788794,United States Grand Prix,P_deploy_mean_optimal,mlp,4,0.7717676663323744
