rmse,mae,r2,n,nrmse,circuit,target,model,seed,pooled_r2
1.9684672091620046,0.9901939060233163,0.9711961377134448,22890,0.04374371575915566,Abu Dhabi Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.8162901127031102,0.5537152136285464,0.9834654279128825,16170,0.018139780282291337,Australian Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.719286598843541,0.47914501798049985,0.9962977220986589,16793,0.015984146640967575,Austrian Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
1.990520547282093,1.2430100886637518,0.9707777407294951,27825,0.044233789939602065,Azerbaijan Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
1.4340466787057793,0.7350590933785364,0.9881136867027026,22386,0.03186770397123954,Bahrain Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.8505494135883668,0.5602777877930614,0.9927970526136419,29596,0.018901098079741482,Belgian Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.7967561795588471,0.5428244613413142,0.9814893308198587,19845,0.01770569287908549,British Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
1.300267884454451,0.8395000361992683,0.9861154286590676,19579,0.028894841876765578,Canadian Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
2.2499648519810407,1.3734166390438,0.9741264333171944,25949,0.049999218932912017,Chinese Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.7360996242012859,0.48955170356959177,0.994409722114733,19880,0.016357769426695243,Dutch Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.8532113053002862,0.44586868178265454,0.9894353175169219,27293,0.01896025122889525,Emilia Romagna Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.5545993981567148,0.3817530363743872,0.9958827330041078,24360,0.012324431070149217,Hungarian Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
1.5339257575779215,0.6182636187948658,0.9767780090067324,16765,0.034087239057287146,Italian Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.5269467418586341,0.4099050542701323,0.9977988794333436,21259,0.011709927596858535,Japanese Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
1.8310914021586766,1.2056235868448708,0.9780725257941606,26320,0.04069092004797059,Las Vegas Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
1.084549297424623,0.7589174631439252,0.9927073391227252,18669,0.024101095498324954,Mexico City Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
2.1955154200906994,1.2751062428666107,0.9552953954800458,19040,0.048789231557571096,Miami Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
1.4914596675730498,0.8732461210528667,0.990728459604979,27125,0.033143548168289995,Monaco Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.40685328239288093,0.263149345607106,0.9969914515688754,25193,0.009041184053175132,Qatar Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.36761407372736454,0.2667657772896715,0.9647713008927071,23100,0.008169201638385878,Saudi Arabian Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
1.3020372639278786,0.9244079497696305,0.9889472664544994,31010,0.028934161420619522,Singapore Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.8745784362421097,0.5521162221946491,0.9796094530578965,26390,0.019435076360935773,Spanish Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
0.8946260811157855,0.529426768562243,0.994202337857359,19935,0.019880579580350787,São Paulo Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
2.378674645406295,1.0453486539112467,0.9717045771238968,25046,0.052859436564584326,United States Grand Prix,d_X_optimal,xgb,3,0.9866100744136476
