rmse,mae,r2,n,nrmse,circuit,target,arm,pooled_r2
2.2388872489842324,1.1458006011036859,0.9627386314014161,22890,0.04975304997742739,Abu Dhabi Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
0.8018571991186699,0.5657310349759035,0.9840449579561504,16170,0.017819048869303775,Australian Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
1.1072266738125187,0.6916245930521393,0.9912272014612633,16793,0.024605037195833748,Austrian Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
2.2641735553240703,1.4955604025691465,0.9621905911614529,27825,0.050314967896090454,Azerbaijan Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
1.5328690206241644,0.9152038156068649,0.9864190330756235,22386,0.03406375601387032,Bahrain Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
0.8174609055300631,0.5190547493106208,0.9933465771165861,29596,0.01816579790066807,Belgian Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
1.1473084071059196,0.6706025036475144,0.9616176474534419,19845,0.025495742380131546,British Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
1.4564325952945538,0.9862211214579757,0.9825800227165472,19579,0.03236516878432342,Canadian Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
2.1619180855303406,1.3984079668265892,0.9761118068341896,25949,0.048042624122896456,Chinese Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
1.071022837084575,0.6756185968438201,0.9881652887260642,19880,0.02380050749076833,Dutch Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
0.668120431860109,0.3942607958417715,0.9935218238526557,27293,0.014847120708002424,Emilia Romagna Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
0.7408201792424872,0.5286143738105817,0.9926535783652363,24360,0.01646267064983305,Hungarian Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
1.5345653608184402,0.6635148283993055,0.9767586391549302,16765,0.034101452462632006,Italian Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
0.6342523204560061,0.47676788521753444,0.9968111468929024,21259,0.014094496010133468,Japanese Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
2.169218119917483,1.416159343525244,0.969226633509911,26320,0.0482048471092774,Las Vegas Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
1.8647337165649245,1.1899909209185302,0.978441374383419,18669,0.0414385270347761,Mexico City Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
2.128334006331181,1.3123069510869874,0.957989404059063,19040,0.04729631125180402,Miami Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
2.080306909994151,1.275982995272925,0.9819621948601996,27125,0.046229042444314465,Monaco Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
0.45637461496534076,0.30815357199551935,0.9962144906959388,25193,0.010141658110340906,Qatar Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
0.2557860552412508,0.17427472295264454,0.982944436383852,23100,0.005684134560916685,Saudi Arabian Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
1.719804483474644,1.1532213690710682,0.9807167147167528,31010,0.03821787741054764,Singapore Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
0.903886951205706,0.5443399503661439,0.9782199145844923,26390,0.020086376693460133,Spanish Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
1.0554494529785883,0.5990997734694589,0.9919305363138448,19935,0.023454432288413072,São Paulo Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
2.4117030880041983,1.1651726732739243,0.9709133449151826,25046,0.05359340195564885,United States Grand Prix,d_X_optimal,geometry_only,0.9830278950060268
