rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
77212.5774644165,48581.69334283952,0.9716163585836886,36742,Abu Dhabi Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
46853.51162084924,33832.59253171928,0.9879860679478175,26039,Australian Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
71346.98489942873,51022.09300045708,0.9863591452776906,25190,Austrian Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
72335.42907979166,49562.44077528,0.9766524098484987,39435,Azerbaijan Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
68319.26946700852,43715.41804547775,0.9864913779432953,26795,Bahrain Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
72802.87238407237,52440.98506718752,0.9819275008604915,41005,Belgian Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
62623.706351772555,40152.73159946976,0.9829094205029918,35518,British Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
53941.483861794506,40382.53729550146,0.9911743681125096,19579,Canadian Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
80634.13651020416,53924.248752072795,0.9805839689269912,31689,Chinese Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
82783.93354514123,54387.054836831856,0.9613121534249975,31916,Dutch Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
61689.78489195804,43281.916000736914,0.9872380999198485,35690,Emilia Romagna Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
68250.6849029925,45968.820138900184,0.9656136233668303,36675,Hungarian Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
67511.90898831295,52864.932222318115,0.985613039912958,19565,Italian Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
105959.23328021694,63815.60888018233,0.963146155471495,43518,Japanese Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
68025.83302547225,50715.620766350046,0.9915357307250587,28700,Las Vegas Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
41461.94545753639,31341.446622871288,0.9934228430784533,21049,Mexico City Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
74794.56948671212,48201.755504420966,0.9830717105835385,35413,Miami Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
87798.61211759713,62825.30692165067,0.965752888209464,33284,Monaco Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
56598.76001637371,40022.91713706733,0.9773053670792186,41988,Qatar Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
82761.77113001372,53214.342151980134,0.9524707859196613,52913,Saudi Arabian Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
80265.68247332855,46425.36509711201,0.9729075471276574,37308,Singapore Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
54411.69927480513,40319.77946590885,0.9823918624597507,28840,Spanish Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
62861.17779923945,44681.3487597894,0.981534997641195,24973,São Paulo Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
66315.84902952335,40740.52453632911,0.9674060798753431,46039,United States Grand Prix,net_depletion_J,xgb,4,0.9794062874725205
