rmse,mae,r2,n,nrmse,circuit,target,arm,pooled_r2
27570.676054000483,10976.933370161963,0.7001053587838773,36040,0.0787733601542871,Abu Dhabi Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
17362.970109659636,9596.526873186447,0.9158403780912434,26039,0.04960848602759896,Australian Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
28949.72907545275,15425.840252684633,0.5536605282421155,25190,0.08271351164415071,Austrian Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
14853.631158786498,7344.99620769973,0.7916235931574038,39435,0.04243894616796142,Azerbaijan Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
23000.927465590903,9538.617586199638,0.6993611759351588,26668,0.06571693561597401,Bahrain Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
27242.19116150128,16049.183853503537,0.8325835849996235,40975,0.07783483189000366,Belgian Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
26181.600732870967,14160.367803336721,0.7669990833236752,35129,0.07480457352248848,British Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
18624.536307618204,8537.995051432528,0.894578375140312,19579,0.05321296087890915,Canadian Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
21238.53935324182,11221.401408927928,0.8278704922281857,31689,0.060681541009262346,Chinese Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
30909.205045070667,13395.204790245689,0.4681779196431807,31916,0.08831201441448762,Dutch Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
17779.474719725717,9866.353454836306,0.8872917367920384,35550,0.050798499199216335,Emilia Romagna Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
25926.356785239208,10239.895984074583,0.46526295222648983,36675,0.07407530510068346,Hungarian Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
19983.493121852793,11017.211818991897,0.9100163960356039,19565,0.05709569463386512,Italian Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
49341.88088539379,25551.01425045673,0.4339317189685229,42696,0.14097680252969655,Japanese Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
22348.69804453212,12505.51726870074,0.8987807241990401,28572,0.06385342298437749,Las Vegas Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
11281.85011291543,7996.624074012552,0.8893533836153356,21049,0.03223385746547266,Mexico City Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
28644.749572963876,13730.140123649742,0.7965294747645083,35280,0.08184214163703965,Miami Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
23110.173984919333,10839.027950955982,0.7471517438244899,33284,0.06602906852834095,Monaco Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
21114.89242365369,9120.328187434763,0.4340939191416767,41988,0.060328264067581974,Qatar Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
30307.898372226085,16154.332579591375,0.6541999924098982,52635,0.08659399534921738,Saudi Arabian Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
30970.211703834088,12892.827483998622,0.4847120577766477,37308,0.08848631915381168,Singapore Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
10110.827406447317,5847.391428212474,0.8975188063279702,28840,0.02888807830413519,Spanish Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
13468.632251276973,7009.801741632324,0.8776784177612956,24973,0.03848180643221992,São Paulo Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
29023.790285928975,11973.654661758743,0.618512723622781,45844,0.08292511510265421,United States Grand Prix,P_deploy_mean_optimal,full,0.7486943179202357
