rmse,mae,r2,n,circuit,target,arm,pooled_r2
15.529718909736241,8.46705335914936,0.9929859609448535,36742,Abu Dhabi Grand Prix,d_coast_optimal,full,0.9659563467743654
27.254446439131073,11.548315196856038,0.9758943524450404,26039,Australian Grand Prix,d_coast_optimal,full,0.9659563467743654
30.352769459002,13.042921262099753,0.946501109897484,25190,Austrian Grand Prix,d_coast_optimal,full,0.9659563467743654
14.755161921486945,7.295153287141998,0.9827267720439399,39435,Azerbaijan Grand Prix,d_coast_optimal,full,0.9659563467743654
20.063530408680663,11.481859646197286,0.9808403659045064,26795,Bahrain Grand Prix,d_coast_optimal,full,0.9659563467743654
35.349388967944265,15.215331230104148,0.9445090235005322,41005,Belgian Grand Prix,d_coast_optimal,full,0.9659563467743654
17.725052211208336,9.778074224132217,0.9840927524395265,35518,British Grand Prix,d_coast_optimal,full,0.9659563467743654
33.807068843993434,15.148713118429782,0.9481317673067796,19579,Canadian Grand Prix,d_coast_optimal,full,0.9659563467743654
45.461305748900415,16.56663344838544,0.9498318684846787,31689,Chinese Grand Prix,d_coast_optimal,full,0.9659563467743654
14.585822876675891,8.197934885966864,0.9683646466791065,31916,Dutch Grand Prix,d_coast_optimal,full,0.9659563467743654
20.601228414249174,8.667440903693294,0.953348914693961,35690,Emilia Romagna Grand Prix,d_coast_optimal,full,0.9659563467743654
11.999534129762628,7.04847487211117,0.9730749702617517,36675,Hungarian Grand Prix,d_coast_optimal,full,0.9659563467743654
45.12263088339914,20.652303657422546,0.9602320583516472,19565,Italian Grand Prix,d_coast_optimal,full,0.9659563467743654
24.488289254089374,14.079147073940414,0.9711255378529094,43518,Japanese Grand Prix,d_coast_optimal,full,0.9659563467743654
66.56800588491707,24.928995220103246,0.8598101994129232,28700,Las Vegas Grand Prix,d_coast_optimal,full,0.9659563467743654
7.873830331069961,5.137822658694313,0.9963710683395245,21049,Mexico City Grand Prix,d_coast_optimal,full,0.9659563467743654
25.05525897175944,11.063844418409762,0.9846771876892783,35413,Miami Grand Prix,d_coast_optimal,full,0.9659563467743654
9.287076694935894,5.5868920160529,0.9681444450977251,33284,Monaco Grand Prix,d_coast_optimal,full,0.9659563467743654
10.417624693972135,6.216893670842615,0.97894178446857,41988,Qatar Grand Prix,d_coast_optimal,full,0.9659563467743654
16.44290104057318,8.79016870606919,0.9457725152530236,52913,Saudi Arabian Grand Prix,d_coast_optimal,full,0.9659563467743654
19.158747898389787,8.65840762890611,0.948710740127912,37308,Singapore Grand Prix,d_coast_optimal,full,0.9659563467743654
11.340875306882005,6.482405633595712,0.9862694970434663,28840,Spanish Grand Prix,d_coast_optimal,full,0.9659563467743654
12.688024432670348,6.81729371050202,0.9869213539796351,24973,São Paulo Grand Prix,d_coast_optimal,full,0.9659563467743654
20.448025362524522,8.831297773788213,0.9810218936816862,46039,United States Grand Prix,d_coast_optimal,full,0.9659563467743654
