circuit,n,zero_rate,rmse_single,rmse_exp,rmse_ratio,rmse_ratio_exp
Abu Dhabi Grand Prix,5250,0.22876190476190475,13.56086209787314,13.44672897765818,12.375167529812025,12.211661391901846
Australian Grand Prix,3719,0.20193600430223177,31.029979829319046,26.58257642129231,28.54921973023036,24.70333721358553
Austrian Grand Prix,3599,0.16532370102806335,13.291159709807054,15.760109714994591,12.667678854491298,14.095512741346301
Azerbaijan Grand Prix,5633,0.4567725900940884,23.418672136412432,20.457790240884183,23.380849641173114,21.05090743039683
Bahrain Grand Prix,3828,0.2711598746081505,18.568788452790024,13.512660752403205,18.18277217821569,13.266695871484426
Belgian Grand Prix,5858,0.15329463980880847,37.114023647881965,31.435413265615143,35.28642720287715,31.4045157832805
British Grand Prix,5085,0.24110127826941985,11.068466893025064,12.000404173174623,10.161554675987027,8.705362659362256
Canadian Grand Prix,2797,0.30461208437611725,29.52442254509831,31.953170132437776,23.27286416477655,25.060231618457916
Chinese Grand Prix,4527,0.4428981665562182,29.37078996647372,24.743803013069787,30.125220898102636,23.7675179392015
Dutch Grand Prix,4560,0.2375,14.324448218511616,11.919086177388257,14.555936849174783,11.635952568865477
Emilia Romagna Grand Prix,5098,0.1910553158101216,11.717311385594206,12.849835722193331,11.880081882261317,13.021916471056878
Hungarian Grand Prix,5240,0.24370229007633587,13.275334073630914,12.13736354800057,13.391449908506093,11.047457007457332
Italian Grand Prix,2795,0.11270125223613596,25.87170043645192,43.08217282399183,38.8898949013861,32.104264447406194
Japanese Grand Prix,6217,0.17275213125301592,10.089683298598093,9.09235719411643,10.205612289674935,8.887374238164208
Las Vegas Grand Prix,4100,0.3668292682926829,48.400829567105916,38.10679910512955,43.931792341613715,36.89053382681623
Mexico City Grand Prix,3007,0.5018290655138011,14.927299356272325,13.720020624711983,14.56601142630796,14.238787291969853
Miami Grand Prix,5060,0.3385375494071146,16.63445536221708,14.7282731030459,16.54199624080046,15.366059701077248
Monaco Grand Prix,4755,0.5337539432176656,12.317657553723848,10.402495210555436,12.506920847728558,10.568119874249419
Qatar Grand Prix,5999,0.06317719619936656,7.736359895204969,5.29181975013163,7.970858893184425,5.70448563721559
Saudi Arabian Grand Prix,7520,0.0675531914893617,7.825326512226818,6.867456536723449,7.0821392380495585,6.435119498836937
Singapore Grand Prix,5330,0.48986866791744843,14.433052081740813,11.55014596395551,14.972564174352069,11.37795548875049
Spanish Grand Prix,4120,0.19223300970873786,13.00147527690104,12.532152295477383,13.692249824614121,12.71788848879763
São Paulo Grand Prix,3568,0.32903587443946186,12.812293345527008,11.164690297515559,13.947641442929843,10.237345221963585
United States Grand Prix,6576,0.2385948905109489,16.208146504998236,15.775591087874977,16.391803296111288,16.219008183607766
