rmse,mae,r2,n,nrmse,circuit,target,model
12198.562416673996,6928.785261923307,0.9583511124602357,5250,0.034853035476211415,Abu Dhabi Grand Prix,P_deploy_mean_optimal,xgb_tuned
12588.1523574364,6844.8342323514125,0.9759444229256207,3718,0.035966149592675425,Australian Grand Prix,P_deploy_mean_optimal,xgb_tuned
9704.191357775191,6503.10516932804,0.9815549096569184,3599,0.027726261022214833,Austrian Grand Prix,P_deploy_mean_optimal,xgb_tuned
11085.20551786901,7997.055783776373,0.936130432765962,5633,0.031672015765340025,Azerbaijan Grand Prix,P_deploy_mean_optimal,xgb_tuned
10088.705020204581,6998.785874109064,0.9440146409625645,3827,0.028824871486298802,Bahrain Grand Prix,P_deploy_mean_optimal,xgb_tuned
12267.690978366169,6402.635006365128,0.9835307509444462,5858,0.035050545652474764,Belgian Grand Prix,P_deploy_mean_optimal,xgb_tuned
12585.5303296858,6847.085422127793,0.972582079181543,5075,0.035958658084816575,British Grand Prix,P_deploy_mean_optimal,xgb_tuned
10086.703371529265,6769.957094919711,0.9805948957535856,2797,0.028819152490083617,Canadian Grand Prix,P_deploy_mean_optimal,xgb_tuned
14988.543181048188,8110.446777291054,0.9273972590737856,4525,0.04282440908870911,Chinese Grand Prix,P_deploy_mean_optimal,xgb_tuned
7276.952655358041,5126.253556870083,0.9777627008594401,4559,0.020791293301022973,Dutch Grand Prix,P_deploy_mean_optimal,xgb_tuned
9071.298514251761,5452.542580603455,0.9839495736282532,5098,0.02591799575500503,Emilia Romagna Grand Prix,P_deploy_mean_optimal,xgb_tuned
5741.573194482006,3857.22375002792,0.9696513623788816,5240,0.01640449484137716,Hungarian Grand Prix,P_deploy_mean_optimal,xgb_tuned
12000.151976153295,7112.2423121895,0.982341141170749,2795,0.03428614850329513,Italian Grand Prix,P_deploy_mean_optimal,xgb_tuned
8755.85615750919,5509.798975289664,0.9815102820174492,6215,0.025016731878597685,Japanese Grand Prix,P_deploy_mean_optimal,xgb_tuned
11165.674746235722,7778.909609515824,0.981981311370094,4099,0.031901927846387776,Las Vegas Grand Prix,P_deploy_mean_optimal,xgb_tuned
6719.714988570437,4592.208191310315,0.9745941938601677,3007,0.01919918568162982,Mexico City Grand Prix,P_deploy_mean_optimal,xgb_tuned
12771.496707169254,7008.233430840493,0.9738238272500729,5059,0.03648999059191215,Miami Grand Prix,P_deploy_mean_optimal,xgb_tuned
7012.026762858692,5067.318131231604,0.9763228071003817,4755,0.02003436217959626,Monaco Grand Prix,P_deploy_mean_optimal,xgb_tuned
6504.781261967088,4873.09456581104,0.9831606717365221,5999,0.018585089319905965,Qatar Grand Prix,P_deploy_mean_optimal,xgb_tuned
15070.617136479686,8579.088369988212,0.9692673576480925,7520,0.043058906104227676,Saudi Arabian Grand Prix,P_deploy_mean_optimal,xgb_tuned
8573.823635429122,5466.525794953828,0.9704314997574407,5328,0.02449663895836892,Singapore Grand Prix,P_deploy_mean_optimal,xgb_tuned
8076.061496900007,4896.053045730874,0.9794804757979175,4120,0.023074461419714306,Spanish Grand Prix,P_deploy_mean_optimal,xgb_tuned
7678.234480531616,4722.75001849155,0.9801074158393457,3568,0.021937812801518904,São Paulo Grand Prix,P_deploy_mean_optimal,xgb_tuned
9101.004225876623,5576.931255691752,0.9610714469913622,6575,0.02600286921679035,United States Grand Prix,P_deploy_mean_optimal,xgb_tuned
11.517051464383556,4.8569566980721985,0.8914039556179987,5250,,Abu Dhabi Grand Prix,d_coast_optimal,twostage_ratio
25.50710006894551,10.667661325848306,0.8251322315907443,3719,,Australian Grand Prix,d_coast_optimal,twostage_ratio
14.690960709981475,4.991108051810164,0.7526274551441582,3599,,Austrian Grand Prix,d_coast_optimal,twostage_ratio
20.910311015596076,6.727722902545327,0.751995983926186,5633,,Azerbaijan Grand Prix,d_coast_optimal,twostage_ratio
14.142015944399432,6.5629079935039,0.8698103764180709,3828,,Bahrain Grand Prix,d_coast_optimal,twostage_ratio
28.194802129047517,10.16182980849181,0.8045281011325103,5858,,Belgian Grand Prix,d_coast_optimal,twostage_ratio
8.657507960031436,3.9880491183857116,0.8886522866430263,5075,,British Grand Prix,d_coast_optimal,twostage_ratio
24.963356796333713,11.678731735283359,0.7047040704818601,2797,,Canadian Grand Prix,d_coast_optimal,twostage_ratio
23.543419569532134,7.976710760664341,0.8154282908985426,4527,,Chinese Grand Prix,d_coast_optimal,twostage_ratio
11.88306170896052,4.279283777607484,0.8543051486782023,4560,,Dutch Grand Prix,d_coast_optimal,twostage_ratio
12.823150278872085,5.681272999414731,0.8001868627147347,5098,,Emilia Romagna Grand Prix,d_coast_optimal,twostage_ratio
11.149372884752703,4.872114646684367,0.8913586673084354,5240,,Hungarian Grand Prix,d_coast_optimal,twostage_ratio
30.102890285374365,17.54621054358563,0.16183842930734738,2795,,Italian Grand Prix,d_coast_optimal,twostage_ratio
