rmse,mae,r2,n,nrmse,circuit,target,model,pooled_r2
14375.224387091663,8722.6621731297,0.9421617205594978,5250,0.04107206967740475,Abu Dhabi Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
13900.22454994682,8156.357739052744,0.9706684218278931,3718,0.03971492728556235,Australian Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
11058.99862376943,7478.2921778645305,0.9760451370191418,3599,0.031597138925055515,Austrian Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
10639.081753060756,7507.457148376915,0.9411678435841714,5633,0.030397376437316447,Azerbaijan Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
8140.9706757877175,5240.710165833594,0.9635450925171091,3827,0.023259916216536336,Bahrain Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
13571.485605401382,8643.673791823076,0.9798440662255813,5858,0.03877567315828966,Belgian Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
11656.831916579924,6056.325578243264,0.9764791752928592,5075,0.033305234047371214,British Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
9591.523478964733,6711.940683780765,0.9824534123580889,2797,0.027404352797042095,Canadian Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
15638.775204331656,8630.384677865792,0.9209613263257245,4525,0.04468221486951902,Chinese Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
8976.502378378176,6286.879820550216,0.9661625801420048,4559,0.025647149652509076,Dutch Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
10046.199646761825,6149.813475046126,0.9803142817330845,5098,0.028703427562176642,Emilia Romagna Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
6288.933863847004,4351.049973692687,0.9635890974896434,5240,0.017968382468134297,Hungarian Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
11527.920968924202,8169.379849910307,0.9837036207448099,2795,0.03293691705406915,Italian Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
8785.579992031033,5651.241874480087,0.9813845334540306,6215,0.025101657120088664,Japanese Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
11139.478431956271,7560.131594763268,0.9820657611723721,4099,0.031827081234160774,Las Vegas Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
7136.941550213742,5523.70331029239,0.9713413615531544,3007,0.02039126157203926,Mexico City Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
11260.012684554791,6228.11222856204,0.9796530032294025,5059,0.03217146481301369,Miami Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
7997.1952972139525,5333.082673468021,0.9692022856727189,4755,0.02284912942061129,Monaco Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
9011.664787602731,6267.276619805524,0.9676801433128507,5999,0.025747613678864946,Qatar Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
12165.909927369214,7921.56295866849,0.9799724870296366,7520,0.03475974264962632,Saudi Arabian Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
10539.97678683206,6668.311214289881,0.9553152312993185,5328,0.030114219390948743,Singapore Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
10138.951708557393,6151.174234577285,0.9676589466527585,4120,0.028968433453021122,Spanish Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
9465.502490043054,5488.973119833384,0.9697687704441319,3568,0.02704429282869444,São Paulo Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
8532.96957249525,5032.691678920506,0.965779210640547,6575,0.024379913064272146,United States Grand Prix,P_deploy_mean_optimal,xgb,0.9749725732486993
10374.682859483264,4716.707637642604,0.9698743962196926,5250,0.02964195102709504,Abu Dhabi Grand Prix,P_deploy_mean_optimal,mlp,0.9875372613751717
