rmse,mae,r2,n,nrmse,circuit,target,model,feature_set
14071.199533928138,8654.901116811187,0.9445823196484199,5250,0.040203427239794684,Abu Dhabi Grand Prix,P_deploy_mean_optimal,xgb_full,full
14626.256310259942,8602.61982335131,0.9675243271424036,3718,0.041789303743599834,Australian Grand Prix,P_deploy_mean_optimal,xgb_full,full
12241.226838708952,8573.458941264307,0.970649738523933,3599,0.03497493382488272,Austrian Grand Prix,P_deploy_mean_optimal,xgb_full,full
10437.088708710724,7246.752139346279,0.9433806050108211,5633,0.029820253453459213,Azerbaijan Grand Prix,P_deploy_mean_optimal,xgb_full,full
8244.052077938948,5419.978755064682,0.9626160598486257,3827,0.023554434508396994,Bahrain Grand Prix,P_deploy_mean_optimal,xgb_full,full
13051.568475844882,8033.27038163676,0.9813588133704373,5858,0.03729019564527109,Belgian Grand Prix,P_deploy_mean_optimal,xgb_full,full
11651.249930909022,6059.141717138527,0.9766528706408073,5085,0.03328928551688292,British Grand Prix,P_deploy_mean_optimal,xgb_full,full
9061.989184728927,6345.865233412788,0.9843373746212458,2797,0.025891397670654077,Canadian Grand Prix,P_deploy_mean_optimal,xgb_full,full
14559.621252304669,8096.122359883289,0.9314930985474108,4525,0.04159891786372762,Chinese Grand Prix,P_deploy_mean_optimal,xgb_full,full
9112.351585535136,6118.699373330426,0.9651306480938019,4559,0.026035290244386104,Dutch Grand Prix,P_deploy_mean_optimal,xgb_full,full
9659.914535430291,5800.175248768995,0.9817990429689141,5098,0.027599755815515117,Emilia Romagna Grand Prix,P_deploy_mean_optimal,xgb_full,full
6423.2637951730185,4478.294832198072,0.9620170313328287,5240,0.01835218227192291,Hungarian Grand Prix,P_deploy_mean_optimal,xgb_full,full
12156.935464226694,8655.867353736554,0.9818766964445131,2795,0.03473410132636198,Italian Grand Prix,P_deploy_mean_optimal,xgb_full,full
8503.619785910438,5366.813538944827,0.9825602314081673,6215,0.02429605653117268,Japanese Grand Prix,P_deploy_mean_optimal,xgb_full,full
10990.73502624988,7414.683331799928,0.9825415087208382,4099,0.03140210007499966,Las Vegas Grand Prix,P_deploy_mean_optimal,xgb_full,full
7457.670485108795,5662.6777254106755,0.9687076878326606,3007,0.0213076299574537,Mexico City Grand Prix,P_deploy_mean_optimal,xgb_full,full
10535.76316169314,5893.509959212996,0.9821862827209676,5059,0.030102180461980398,Miami Grand Prix,P_deploy_mean_optimal,xgb_full,full
7988.084435536961,5285.6332254666595,0.9692724187307693,4755,0.02282309838724846,Monaco Grand Prix,P_deploy_mean_optimal,xgb_full,full
8585.363775325575,5834.124167538013,0.9706656295396991,5999,0.0245296107866445,Qatar Grand Prix,P_deploy_mean_optimal,xgb_full,full
10799.939581819961,7018.514411418614,0.9842173298529825,7520,0.030856970233771316,Saudi Arabian Grand Prix,P_deploy_mean_optimal,xgb_full,full
10498.21445154952,6796.904081181438,0.9556686368608938,5328,0.02999489843299863,Singapore Grand Prix,P_deploy_mean_optimal,xgb_full,full
9378.094738774658,5857.021154571697,0.972330756639079,4120,0.026794556396499025,Spanish Grand Prix,P_deploy_mean_optimal,xgb_full,full
9691.365174416578,5667.531359567992,0.9683088222425225,3568,0.027689614784047367,São Paulo Grand Prix,P_deploy_mean_optimal,xgb_full,full
8450.57562991692,5099.844073841811,0.9664368885655921,6575,0.02414450179976263,United States Grand Prix,P_deploy_mean_optimal,xgb_full,full
12277.85354880099,6654.925507330564,0.957807913982354,5250,0.035079581568002824,Abu Dhabi Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
12482.18333453292,7086.272650795095,0.976347725391667,3718,0.035663380955808344,Australian Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
9984.45745252803,6701.152209360652,0.9804741016395587,3599,0.028527021292937226,Austrian Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
10842.586688512696,8010.616197471704,0.938895628542676,5633,0.030978819110036273,Azerbaijan Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
10125.107111299883,7077.357997276049,0.9436098990526025,3827,0.02892887746085681,Bahrain Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
12621.61444788241,6742.6478617018765,0.9825667659319446,5858,0.036061755565378315,Belgian Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
12661.527387101503,6959.3420400301175,0.9724284837405237,5085,0.03617579253457572,British Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
9491.715594806914,6417.2265320199385,0.9828166864465009,2797,0.02711918741373404,Canadian Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
15884.326140997555,8425.509263593322,0.9184598021575023,4525,0.04538378897427873,Chinese Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
7055.833748258517,5056.827381741199,0.9790935825413886,4559,0.020159524995024332,Dutch Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
9484.525487884614,5848.464069641706,0.9824539698159652,5098,0.027098644251098897,Emilia Romagna Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
